Type,location,id,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_ES,BR_ES_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_ES,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_GO,BR_GO_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_GO,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_MA,BR_MA_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_MA,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_MA,BR_MA_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,3024,2,3024,0.108672,elec_BR_MA,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_MG,BR_MG_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_MG,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_MG,BR_MG_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,235,2,235,0.108672,elec_BR_MG,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_MS,BR_MS_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_MS,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_MS,BR_MS_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,386,2,386,0.108672,elec_BR_MS,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_MT,BR_MT_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_MT,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_MT,BR_MT_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,529,2,529,0.108672,elec_BR_MT,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_PA,BR_PA_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PA,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_PB,BR_PB_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PB,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_PE,BR_PE_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PE,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_PE,BR_PE_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,550,2,550,0.108672,elec_BR_PE,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_PI,BR_PI_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PI,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_PR,BR_PR_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_PE,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_PR,BR_PR_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,484,2,484,0.108672,elec_BR_PR,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_RJ,BR_RJ_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_RJ,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_RJ,BR_RJ_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,6422,2,6422,0.108672,elec_BR_RJ,1.1,0,0.108672,0,104.7,0.58614214,natgas_LNG_BR,2.10561406,0.1813314,
ThermalPower,BR_RN,BR_RN_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_RN,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_RN,BR_RN_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,110,2,110,0.108672,elec_BR_RN,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_RO,BR_RO_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_RO,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_RR,BR_RR_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_RR,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_RR,BR_RR_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,141,2,141,0.108672,elec_BR_RR,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_RS,BR_RS_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_RS,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_RS,BR_RS_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,888,2,888,0.108672,elec_BR_RS,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_SC,BR_SC_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_SC,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_SE,BR_SE_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_SE,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_SE,BR_SE_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,1593,2,1593,0.108672,elec_BR_SE,1.1,0,0.108672,0,104.7,0.58614214,natgas_LNG_BR,2.10561406,0.1813314,
ThermalPower,BR_SP,BR_SP_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_SP,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_SP,BR_SP_Combined_Cycle_Existing,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,146227.3563,650,2,650,0.108672,elec_BR_SP,1.1,0,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
ThermalPower,BR_TO,BR_TO_Combined_Cycle,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,1,50,0.08,20,41190.8046,0,2,100,0.108672,elec_BR_TO,7.53,1050365.517,0.108672,0,104.7,0.58614214,natgas_BR,2.10561406,0.1813314,
